"AMOUNT","CASE","CREATED_AT","MERCHANT","RISK_SCORE","USER_ACCOUNT_AGGREGATE_ORDER_COUNT"
"6.41","541747493","2018-01-21","7625","98.78","4"
"38.0","538730662","2018-01-18","7863","99.84","2"
"19.55","538202035","2018-01-18","7625","92.34","1"
"1.0","535978561","2018-01-15","7625","94.17","1"
"1465.44","546216679","2018-01-26","4437","57.17",""
"31.48","546656851","2018-01-27","7625","72.59","1"
"125.0","546144591","2018-01-26","8886","56.64",""
"13.92","546959361","2018-01-27","7625","70.98","6"
"26.0","552772392","2018-01-28","7625","70.92","18"
"59.2","533483192","2018-01-13","7625","89.71","2"
"88.13","528501141","2018-01-08","8886","74.48",""
"5.55","552777349","2018-01-29","7625","67.42","2"
"92.95","543870868","2018-01-24","7625","67.83","1"
"14.6","529339787","2018-01-09","7625","94.05","1"
"192.13","534518849","2018-01-14","7625","70.74","2"
"31.2","534587180","2018-01-14","7625","57.36","1"
"16.22","539349391","2018-01-14","7625","51.75","6"
"1.0","548751887","2018-01-29","7625","86.84","1"
"3.27","523649828","2018-01-03","7625","54.31","1"
"30.0","540056695","2018-01-20","7625","59.93","27"
"9.0","533525654","2018-01-13","7625","69.12","1"
"33.0","538519590","2018-01-18","7625","57.31","1"
"13.0","548411473","2018-01-29","7625","74.6","1"
"39.0","525642308","2018-01-01","7625","78.83","8"
"2.0","552785268","2018-01-29","7625","88.35","18"
"554.0","531884007","2018-01-11","8886","52.63",""
"360.78","538530088","2018-01-18","7625","61.23","1"
"12.25","531961075","2018-01-11","7625","92.91","1"
"52.11","530099880","2018-01-09","7625","78.26","3"
"742.92","529504864","2018-01-09","8886","56.72",""
"21.0","546346055","2018-01-26","7625","74.35","1"
"8.56","535366209","2018-01-15","7625","98.02","1"
"12.0","528396351","2018-01-08","7625","54.54","4"
"2.0","531208196","2018-01-11","7625","94.46","1"
"178.0","522975899","2018-01-02","8886","73.44",""
"3.76","521601257","2018-01-01","12650","69.5","622"
"6.97","525864532","2018-01-05","7625","95.86","37"
"32.0","521598769","2018-01-01","7625","54.94","4"
"13.0","531770855","2018-01-11","7625","62.32","3"
"13.3","541281780","2018-01-21","7625","80.24","2"
"100.7","531968653","2018-01-11","7625","64.57","1"
"1040.0","527297733","2018-01-07","8886","59.07",""
"8.0","531734789","2018-01-11","7625","94.58","4"
"8.0","531411190","2018-01-11","7625","87.94","1"
"1.0","544265108","2018-01-24","7625","94.7","1"
"65.7","534487550","2018-01-14","7625","69.24","2"
"2.07","533603268","2018-01-13","7625","75.34","1"
"1.24","531977689","2018-01-11","7625","57.73","1"
"19.0","523179357","2018-01-03","7625","71.58","1"
"2.43","528407895","2018-01-08","7625","66.37","1"
"6.76","547104277","2018-01-27","7625","53.01","3"
"17.6","522407289","2018-01-02","7625","81.25","1"
"78.55","528223134","2018-01-07","7625","59.52","1"
"1.25","537832098","2018-01-17","7625","54.86","1"
"14.0","534459868","2018-01-14","7625","56.74","3"
"3.3","526175424","2018-01-05","7625","61.67","2"
"8.0","537104830","2018-01-17","7625","50.53","5"
"137.0","523651016","2018-01-03","8886","63.71",""
"30.05","523147054","2018-01-03","7625","89.08","8"
"44.4","536258448","2018-01-16","7625","51.52","3"
"7.0","530106819","2018-01-09","7625","94.33","1"
"16.0","523597815","2018-01-03","7625","85.96","1"
"8.0","531982137","2018-01-11","7625","74.21","4"
"63.0","531319180","2018-01-11","8886","88.37",""
"49.21","546803659","2018-01-27","7625","74.79","1"
"2.0","537009549","2018-01-17","7625","88.2","2"
"6.0","522892371","2018-01-02","7625","55.97","3"
"11.7","536815179","2018-01-16","7625","88.95","14"
"163.91","524885749","2018-01-04","8886","60.88",""
"799.0","537395685","2018-01-17","3164","84.85","3"
"7.01","548737443","2018-01-29","7625","62.23","1"
"6.0","533973381","2018-01-13","7625","66.15","1"
"9.0","527312157","2018-01-07","7625","99.76","3"
"6.0","534596620","2018-01-14","7625","79.08","2"
"32.0","534212234","2018-01-14","7625","66.16","1"
"1.9","531701627","2018-01-11","7625","53.95","4"
"1.24","528385525","2018-01-08","7625","63.86","1"
"43.0","530919306","2018-01-10","7625","53.94","1"
"1.0","531728082","2018-01-11","7625","97.4","1"
"14.0","522929066","2018-01-02","7625","80.99","5"
"170.0","545111055","2018-01-25","8886","67.33",""
"88.0","533005524","2018-01-12","7625","94.49","11"
"119.67","522853586","2018-01-02","7625","51.44","2"
"502.0","528671025","2018-01-08","8886","67.2",""
"252.0","526155546","2018-01-05","8886","57.14",""
"326.02","521554602","2018-01-01","7625","69.67","1"
"13.6","545592294","2018-01-26","7625","85.63","3"
"3.0","539783423","2018-01-19","7625","61.55","12"
"4.0","526191411","2018-01-05","7625","65.38","2"
"11.0","537822818","2018-01-17","7625","50.55","9"
"5.94","534415056","2018-01-14","7625","87.6","1"
"134.0","528569135","2018-01-08","8886","64.82",""
"276.0","546081229","2018-01-26","7625","62.23","6"
"2.0","544771361","2018-01-25","7625","99.72","1"
"29.75","528669434","2018-01-08","7625","91.81","1"
"2.31","536740259","2018-01-16","7625","81.65","1"
"41.0","523597790","2018-01-03","7625","70.9","4"
"63.0","531417455","2018-01-11","7625","68.49","1"
"2.0","525631405","2018-01-01","7625","63.36","6"
"26.0","542545284","2018-01-22","7625","65.38","1"
"2.41","522103409","2018-01-01","7625","52.46","1"
"154.34","534228807","2018-01-14","8886","57.41",""
"6.99","544776662","2018-01-25","7625","74.18","14"
"661.84","522609726","2018-01-02","71","55.18","1"
"76.35","533975437","2018-01-13","7625","81.89","2"
"8.82","535056311","2018-01-14","7625","84.63","2"
"14.05","528577680","2018-01-08","7625","96.46","1"
"15.0","545122118","2018-01-25","7625","66.3","4"
"25.33","523320539","2018-01-03","7625","77.69","2"
"52.0","544247435","2018-01-24","7625","95.45","3"
"82.65","526322603","2018-01-06","7625","77.56","1"
"440.16","533481880","2018-01-13","8886","56.17",""
"8.33","537434792","2018-01-17","7625","91.87","14"
"91.0","544695272","2018-01-25","7625","65.54","2"
"168.0","525184245","2018-01-05","8886","81.62",""
"214.0","526437675","2018-01-06","7625","61.48","2"
"1.0","523624121","2018-01-03","7625","73.79","1"
"111.0","524982116","2018-01-04","7625","75.03","2"
"21.0","542231318","2018-01-22","7625","72.21","2"
"69.0","538234118","2018-01-18","7625","83.72","3"
"234.9","529637554","2018-01-09","7625","57.29","4"
"2.0","526667850","2018-01-06","7625","77.29","4"
"1347.0","526610426","2018-01-06","8886","65.98",""
"72.0","530085021","2018-01-09","8886","69.67",""
"1.27","547838881","2018-01-28","7625","68.61","1"
"1755.05","536256771","2018-01-16","7625","74.59","1"
"5.0","533008022","2018-01-12","7625","71.23","3"
"9.0","537424123","2018-01-17","7625","61.79","2"
"38.0","529745592","2018-01-09","7625","86.66","1"
"41.2","526559293","2018-01-06","7625","62.86","19"
"54.0","529798082","2018-01-09","7625","60.29","1"
"60.0","526312248","2018-01-06","7625","92.31","1"
"1.99","538737578","2018-01-18","7625","76.91","1"
"66.0","543097335","2018-01-23","7625","89.77","3"
"2.03","528188563","2018-01-07","7625","69.5","1"
"250.0","523637645","2018-01-03","8886","61.67",""
"4.0","535498506","2018-01-15","7625","56.57","1"
"4.0","535499569","2018-01-15","7625","53.18","1"
"64.0","524895724","2018-01-04","7625","87.41","1"
"4.95","542765895","2018-01-22","7625","86.92","1"
"1.24","531201625","2018-01-11","7625","81.81","1"
"1.0","531204019","2018-01-11","7625","94.85","1"
"2.0","525562045","2018-01-04","7625","66.77","2"
"1.0","538072649","2018-01-18","7625","75.6","1"
"16.77","527341568","2018-01-07","7625","69.82","5"
"1.0","534025606","2018-01-13","7625","97.04","1"
"1.0","541795376","2018-01-21","7625","91.07","1"
"24.0","537161566","2018-01-17","7625","93.34","8"
"292.0","530769026","2018-01-10","8886","56.91",""
"12.6","539729015","2018-01-12","7625","67.58","21"
"5.0","546144482","2018-01-26","7625","86.19","3"
"1.0","546127384","2018-01-26","8743","79.99","5"
"61.52","525189576","2018-01-05","8886","64.81",""
"75.62","538151427","2018-01-18","7625","81.59","12"
"6.0","544658135","2018-01-25","7625","76.72","1"
"150.8","533662692","2018-01-13","7625","84.91","1"
"41.79","538080299","2018-01-18","7437","52.4",""
"1.22","522593260","2018-01-02","7625","51.04","1"
"28.78","541352074","2018-01-21","7625","59.7","3"
"3.0","523110286","2018-01-03","7625","87.52","3"
"2.0","541280680","2018-01-21","7625","95.9","1"
"62.0","533366870","2018-01-13","7625","56.17","4"
"18.0","541986716","2018-01-22","7625","61.01","2"
"146.5","525012237","2018-01-04","7625","62.0","1"
"12.8","541169305","2018-01-21","7625","86.0","10"
"8.36","543259836","2018-01-23","7625","69.7","2"
"93.28","552546660","2018-01-27","7625","55.58","1"
"28.03","541944729","2018-01-22","7625","92.2","1"
"6.04","526033482","2018-01-05","7625","75.79","10"
"29.0","535331880","2018-01-15","7625","52.15","3"
"1.0","521554885","2018-01-01","7625","69.36","1"
"10.78","541187550","2018-01-21","7625","56.24","1"
"8.9","548580664","2018-01-29","7625","78.29","1"
"37.0","529780490","2018-01-09","7625","76.96","3"
"619.04","522433694","2018-01-02","2209","87.19","2"
"96.0","531380561","2018-01-11","7625","62.83","1"
"6.27","530989418","2018-01-10","7625","82.23","20"
"8.05","529381646","2018-01-09","7625","78.27","1"
"98.04","549124456","2018-01-29","8886","71.26",""
"100.9","528198234","2018-01-07","9839","97.77","1"
"20.06","548873755","2018-01-29","7625","69.59","1"
"56.0","543683242","2018-01-24","7625","81.79","3"
"2.0","537115434","2018-01-17","7625","83.09","5"
"96.9","528392687","2018-01-08","7625","72.08","1"
"32.3","534219235","2018-01-14","7625","80.02","5"
"56.8","522216614","2018-01-02","7625","66.72","1"
"15.0","547787544","2018-01-27","7625","58.86","14"
"13.0","542517528","2018-01-22","7625","90.59","1"
"33.0","535167577","2018-01-15","7625","73.86","3"
"63.57","536739283","2018-01-16","10153","97.59","0"
"1.23","530575448","2018-01-10","7625","51.28","1"
"14.0","531824267","2018-01-11","7625","76.49","4"
"43.7","522063502","2018-01-01","7625","68.95","6"
"34.68","522403009","2018-01-02","7625","81.71","11"
"4.0","523855771","2018-01-03","7625","84.72","1"
"17.0","538830342","2018-01-18","7625","62.77","1"
"211.74","544503823","2018-01-24","7625","52.11","2"
"37.95","524820876","2018-01-04","6831","94.73","1"
"93.54","539846562","2018-01-19","7625","90.1","1"
"5.76","534251534","2018-01-14","7625","79.23","6"
"2.0","531916731","2018-01-11","7625","84.67","1"
"65.84","533735404","2018-01-13","7625","69.42","2"
"17.88","544324516","2018-01-24","7625","94.71","33"
"1.03","523329256","2018-01-03","7625","64.53","1"
"1.0","524917048","2018-01-04","7625","92.96","1"
"2.01","531735399","2018-01-11","7625","50.11","2"
"18.95","547632195","2018-01-28","7625","93.11","24"
"28.0","545747161","2018-01-26","7625","53.15","2"
"200.0","528521185","2018-01-08","8886","70.7",""
"10.85","528503273","2018-01-08","7625","56.68","2"
"54.95","539308422","2018-01-19","7625","74.39","1"
"5.98","538435666","2018-01-18","7625","77.85","1"
"16.0","525980797","2018-01-05","7625","72.46","12"
"33.0","542225366","2018-01-22","7625","73.94","1"
"67.79","542677100","2018-01-22","7625","82.73","9"
"12.35","523943126","2018-01-03","7625","89.49","2"
"4.0","521810889","2018-01-01","7625","52.98","1"
"2.42","539567488","2018-01-19","7625","67.42","2"
"1.0","548649562","2018-01-29","7625","97.74","1"
"12.35","547860042","2018-01-28","7625","83.71","3"
"3.0","541866477","2018-01-22","7625","88.37","1"
"5.91","547787596","2018-01-28","7625","79.34","8"
"3.0","534244393","2018-01-14","7625","82.89","3"
"3.96","534411888","2018-01-14","7625","93.49","6"
"1.24","523327520","2018-01-03","7625","69.56","1"
"4.0","538913465","2018-01-18","7625","52.61","2"
"66.0","525126654","2018-01-05","7625","93.98","4"
"1.21","521686116","2018-01-01","7625","84.65","1"
"121.0","525397554","2018-01-05","8886","59.67",""
"117.0","526179214","2018-01-05","8886","53.19",""
"7.8","526452224","2018-01-06","7625","72.7","1"
"1.0","535768016","2018-01-15","7625","64.44","2"
"1.0","528510840","2018-01-08","7625","92.17","1"
"12.89","536740230","2018-01-16","7625","99.29","2"
"58.0","546923541","2018-01-20","7625","94.07","11"
"57.5","542322889","2018-01-22","7625","63.74","2"
"199.98","525124287","2018-01-05","2268","55.51",""
"4.0","521904077","2018-01-01","7625","68.39","6"
"385.39","545599000","2018-01-26","8886","60.19",""
"6.3","526571684","2018-01-06","7625","62.87","45"
"16.81","541688283","2018-01-21","7625","87.17","1"
"84.0","534228593","2018-01-14","7625","88.76","1"
"2.0","549117847","2018-01-29","7625","90.28","1"
"1.95","536021674","2018-01-15","7625","74.69","1"
"82.97","534976652","2018-01-14","7625","64.48","1"
"1.0","535382013","2018-01-15","7625","97.11","1"
"1.03","523150041","2018-01-03","7625","70.41","1"
"1.0","539337719","2018-01-19","7625","56.86","1"
"79.0","553952293","2018-01-27","7625","83.97","4"
"9.35","543345289","2018-01-23","7625","63.52","2"
"42.4","527344166","2018-01-07","7625","96.0","10"
"80.0","531736482","2018-01-11","8886","84.07",""
"40.0","523020028","2018-01-02","8886","76.18",""
"20.0","543255469","2018-01-23","7625","76.53","2"
"79.0","541763002","2018-01-21","7625","70.23","2"
"27.29","534207796","2018-01-14","7625","96.41","1"
"37.7","525594289","2018-01-05","7625","66.95","1"
"26.1","533276188","2018-01-13","7625","98.38","12"
"66.0","546907080","2018-01-20","7625","90.35","11"
"74.19","543932660","2018-01-24","15285","84.64",""
"18.18","544129055","2018-01-24","7625","91.73","1"
"18.35","528414269","2018-01-08","7625","95.24","3"
"10.65","524994775","2018-01-04","7625","52.97","5"
"35.0","530079473","2018-01-09","7625","92.3","1"
"87.0","531501852","2018-01-11","6831","95.41","2"
"77.67","526667132","2018-01-06","7625","55.66","1"
"228.0","525003378","2018-01-04","8886","50.85",""
"107.2","545686483","2018-01-26","2235","73.66",""
"57.8","537191723","2018-01-17","7625","91.67","27"
"2.99","534514606","2018-01-13","7625","86.84","1"
"42.0","548586900","2018-01-29","7625","78.69","2"
"3.9","527227462","2018-01-07","7625","95.04","1"
"35.0","526442838","2018-01-06","7625","70.51","1"
"64.0","535348464","2018-01-15","7625","61.64","1"
"2.2","534172687","2018-01-14","7625","64.43","1"
"17.1","529845084","2018-01-09","7625","89.43","1"
"34.0","527332195","2018-01-07","7625","64.31","1"
"2.0","527337394","2018-01-07","7625","84.99","1"
"53.0","535346200","2018-01-15","7625","71.13","2"
"206.0","529792267","2018-01-09","8886","76.97",""
"197.64","540982688","2018-01-21","7625","66.95","1"
"3.0","527213529","2018-01-06","7625","54.21","4"
"37.95","538151237","2018-01-18","7438","87.94",""
"47.79","522321276","2018-01-02","7625","81.55","18"
"39.5","534361167","2018-01-14","7625","77.28","3"
"2.0","544065292","2018-01-24","7625","77.42","2"
"59.0","522405398","2018-01-02","7625","91.88","3"
"21.0","544187737","2018-01-24","7625","54.17","1"
"4.0","552772401","2018-01-29","7625","88.21","10"
"2.0","533113327","2018-01-12","7625","50.47","4"
"1.8","528781524","2018-01-08","7625","79.71","1"
"1.0","525586534","2018-01-05","7625","98.14","1"
"197.0","523862869","2018-01-03","8886","65.25",""
"1.0","522197477","2018-01-02","7625","99.2","1"
"62.9","533991404","2018-01-13","7625","73.74","6"
"27.0","548183898","2018-01-28","7625","64.51","1"
"106.35","526137156","2018-01-05","7625","66.15","1"
"48.45","525436790","2018-01-05","7625","93.32","1"
"951.5","531731502","2018-01-11","8886","50.08",""
"9.0","533939400","2018-01-13","7625","83.55","8"
"40.0","548546890","2018-01-29","7625","91.62","33"
"1.85","522405264","2018-01-02","7625","91.76","16"
"54.17","538487154","2018-01-18","7625","51.66","2"
"468.0","528234384","2018-01-07","8886","67.68",""
"50.03","541856163","2018-01-22","7625","66.74","1"
"24.08","534016304","2018-01-13","7625","97.94","1"
"6.9","531492170","2018-01-11","7625","89.95","1"
"13.3","529221768","2018-01-09","7625","77.08","1"
"63.01","531101448","2018-01-10","7625","82.57","1"
"82.0","526440535","2018-01-06","7625","57.36","1"
"44.1","545592382","2018-01-26","7625","58.38","5"
"31.0","522265892","2018-01-02","7625","64.85","4"
"30.95","529012853","2018-01-08","7625","61.96","3"
"2.0","526658066","2018-01-06","7625","68.09","20"
"3.0","526135459","2018-01-05","7625","51.57","15"
"46.0","537653582","2018-01-17","7625","67.49","1"
"426.5","523773590","2018-01-03","8886","52.72",""
"2.0","535998526","2018-01-15","7625","84.41","19"
"5.0","526641794","2018-01-02","7625","87.52","4"
"20.77","523428265","2018-01-03","7625","96.77","1"
"39.0","540464315","2018-01-20","7625","76.7","4"
"79.3","547634395","2018-01-28","7625","78.73","3"
"9.91","528279780","2018-01-08","7625","69.38","2"
"11.36","526665656","2018-01-06","7625","53.64","1"
"106.7","539724438","2018-01-19","7625","87.14","91"
"497.0","540374179","2018-01-16","7625","80.05","1"
"15.45","540981887","2018-01-21","7625","81.25","6"
"67.65","524363321","2018-01-04","7625","83.55","10"
"4.0","542077512","2018-01-22","7625","75.75","9"
"19.8","530616139","2018-01-10","7625","69.73","1"
"17.0","529329762","2018-01-09","7625","83.21","1"
"1.0","543842777","2018-01-24","7625","95.14","1"
"15.0","531414373","2018-01-11","7625","64.68","2"
"1.0","548550091","2018-01-29","7625","82.28","1"
"142.0","522398646","2018-01-02","1801","98.49","1"
"6.43","539314539","2018-01-19","7625","87.09","5"
"10.0","528195699","2018-01-07","7625","60.44","1"
"2.3","527932017","2018-01-07","7625","80.12","1"
"47.0","541843150","2018-01-21","7625","97.71","1"
"25.49","538762184","2018-01-18","7625","82.51","1"
"2029.91","528971357","2018-01-08","3164","89.0","4"
"5.0","525551125","2018-01-01","7625","60.01","7"
"2.9","546511231","2018-01-26","7625","88.06","1"
"263.0","526584375","2018-01-06","8886","58.51",""
"60.35","545330728","2018-01-25","7625","93.85","4"
"1.0","534528747","2018-01-14","7625","81.17","1"
"7.99","538405710","2018-01-18","7625","99.22","6"
"44.0","544772360","2018-01-25","7625","94.79","4"
"125.0","537219336","2018-01-17","8886","67.67",""
"1.0","529773702","2018-01-09","7625","92.91","1"
"16.65","535386303","2018-01-15","7625","90.93","5"
"14.26","538610192","2018-01-18","7625","71.68","1"
"36.5","547791498","2018-01-27","7625","56.14","8"
"12.0","536197220","2018-01-16","7625","57.29","24"
"455.11","534486799","2018-01-14","8886","55.34",""
"97.0","536117743","2018-01-16","7625","74.57","7"
"19.49","528507750","2018-01-08","7625","96.8","1"
"21.0","547511414","2018-01-28","7625","92.64","9"
"161.0","533380052","2018-01-13","7625","79.4","2"
"92.15","531204424","2018-01-11","7625","86.34","2"
"30.0","534536649","2018-01-13","7625","80.99","21"
"60.9","529291265","2018-01-09","7625","58.53","2"
"4.0","541585454","2018-01-21","7625","55.71","11"
"30.5","525639559","2018-01-02","7625","95.87","8"
"389.99","530355624","2018-01-10","3164","95.2","2"
"1.0","542680105","2018-01-22","7625","99.5","1"
"4.0","547515089","2018-01-28","7625","91.61","4"
"7.0","525115409","2018-01-04","7625","82.07","3"
"90.0","535245198","2018-01-15","8886","88.32",""
"21.0","546940531","2018-01-27","7625","74.87","2"
"10.0","543838344","2018-01-24","7625","97.94","1"
"83.0","525296096","2018-01-05","7625","66.48","1"
"30.9","540215001","2018-01-20","7625","93.91","9"
"9.0","540996555","2018-01-21","7625","82.82","19"
"15.68","547529350","2018-01-28","7625","63.33","1"
"2.0","526768685","2018-01-06","7625","81.49","1"
"10.0","521558391","2018-01-01","7625","51.45","1"
"5.6","547856830","2018-01-28","7625","81.25","1"
"10.45","533974133","2018-01-13","7625","73.2","2"
"19.71","529787848","2018-01-09","7625","59.2","2"
"16.38","545020615","2018-01-25","7625","60.6","17"
"95.43","525275642","2018-01-05","7625","74.0","1"
"2.0","529510566","2018-01-09","7625","83.78","9"
"16.15","529507024","2018-01-09","7625","77.42","19"
"57.62","531147229","2018-01-11","7625","60.0","4"
"6.0","541403212","2018-01-21","7625","64.33","4"
"153.02","544719133","2018-01-25","8886","57.86",""
"4.0","529212241","2018-01-08","7625","52.47","2"
"41.77","524490199","2018-01-04","7625","77.17","2"
"1.9","522446812","2018-01-02","7625","97.88","2"
"54.0","526259181","2018-01-06","7625","89.2","2"
"24.59","531992634","2018-01-11","1392","99.22",""
"39.96","546515102","2018-01-27","3234","94.97","0"
"1.0","525588235","2018-01-05","7625","89.46","15"
"13.0","549035776","2018-01-29","7625","94.09","1"
"47.81","543113215","2018-01-23","7625","67.28","5"
"141.6","533837299","2018-01-13","7625","57.74","2"
"1.23","529809002","2018-01-09","7625","57.33","1"
"47.29","535755459","2018-01-15","7625","71.07","5"
"2.0","522205316","2018-01-02","7625","94.06","3"
"58.05","525774205","2018-01-05","7625","75.4","1"
"1.05","533327560","2018-01-13","7625","53.4","1"
"1.0","533305471","2018-01-13","7625","79.91","1"
"168.0","526164307","2018-01-05","7625","69.9","1"
"2.0","549202263","2018-01-29","7625","84.11","4"
"1.0","548465309","2018-01-29","7625","97.89","1"
"25.0","546216036","2018-01-26","8886","84.9",""
"26.0","540502180","2018-01-20","7625","68.83","1"
"65.17","522405702","2018-01-02","7625","91.68","1"
"1.23","523787540","2018-01-03","7625","58.67","1"
"67.42","523369681","2018-01-03","7625","66.94","1"
"2.0","546214131","2018-01-26","7625","82.95","8"
"13.0","543595645","2018-01-23","7625","83.07","41"
"3.0","525440327","2018-01-05","7625","51.03","2"
"328.18","531181887","2018-01-11","8886","53.12",""
"26.0","552773183","2018-01-26","7625","78.62","43"
"4.0","522217847","2018-01-02","7625","54.48","14"
"68.0","522973564","2018-01-02","8886","70.9",""
"3.64","541807751","2018-01-21","7625","92.1","54"
"2.98","528788460","2018-01-08","7625","57.38","1"
"5.0","544134766","2018-01-24","7625","65.62","14"
"56.89","538528154","2018-01-18","7625","59.25","1"
"57.18","544622681","2018-01-25","7625","70.98","1"
"35.0","542446228","2018-01-22","7625","65.71","2"
"2.0","552775082","2018-01-28","7625","89.15","9"
"2.0","531109611","2018-01-10","7625","96.27","20"
"1.25","538747018","2018-01-18","7625","75.38","1"
"14.0","542422160","2018-01-22","7625","76.83","1"
"8.8","548923019","2018-01-29","7625","78.2","41"
"80.0","542425276","2018-01-22","8886","88.55",""
"28.39","534514235","2018-01-13","7625","51.61","4"
"25.0","549155763","2018-01-29","7625","65.68","1"
"27.8","541181046","2018-01-21","7625","76.81","1"
"104.45","521852143","2018-01-01","7625","52.85","11"
"47.08","534521498","2018-01-14","7625","57.32","1"
"1.25","539736568","2018-01-19","7625","51.27","1"
"649.0","538926064","2018-01-18","8886","71.61",""
"1.25","539245597","2018-01-19","7625","68.58","1"
"3.0","534521646","2018-01-14","7625","63.27","1"
"40.0","547213594","2018-01-27","7625","86.46","1"
"47.5","522448290","2018-01-02","7625","70.48","2"
"240.59","548906444","2018-01-29","71","60.07","1"
"454.0","522963108","2018-01-02","8886","56.93",""
"4.88","534386430","2018-01-14","7625","71.65","1"
"9.45","531506712","2018-01-11","7625","99.33","44"
"17.0","525690858","2018-01-05","7625","79.12","1"
"43.15","547961014","2018-01-28","7625","55.97","1"
"222.22","530912061","2018-01-10","8886","72.09",""
"3.9","536650141","2018-01-16","7625","50.13","1"
"41.0","531200029","2018-01-11","7625","93.66","1"
"81.4","524244884","2018-01-04","7625","87.26","17"
"45.37","523325762","2018-01-03","7625","61.59","7"
"101.0","521847324","2018-01-01","7625","92.36","6"
"46.0","549194576","2018-01-29","407","53.02",""
"80.0","529216281","2018-01-08","7625","80.39","2"
"1256.4","530079553","2018-01-09","71","57.2","3"
"1.0","543682554","2018-01-24","7625","66.24","1"
"2.0","544620458","2018-01-25","7625","59.07","2"
"23.4","533740758","2018-01-13","7625","94.95","1"
"23.15","533380456","2018-01-13","7625","52.15","5"
"6.25","521932050","2018-01-01","7625","92.02","6"
"138.6","530105418","2018-01-09","7625","63.08","1"
"37.96","539319376","2018-01-19","7625","52.74","2"
"1.25","538980686","2018-01-19","7625","61.68","1"
"2.0","526732551","2018-01-06","7625","95.81","2"
"629.3","531563878","2018-01-11","71","83.17","1"
"16.0","538806639","2018-01-18","7625","55.0","1"
"46.65","525964116","2018-01-02","7625","93.27","5"
"51.1","535236008","2018-01-15","7625","69.56","1"
"642.31","544669362","2018-01-25","8886","55.3",""
"8.03","533592542","2018-01-13","7625","94.9","1"
"2.0","554321397","2018-02-03","7625","48.0","43"
"5.06","569656443","2018-02-18","7625","41.25","124"
"20.0","553859377","2018-02-03","8743","43.67","40"
"21.35","552159597","2018-02-01","7625","46.13","10"
"2.0","571623539","2018-02-21","7625","48.7","8"
"3.0","568736689","2018-02-17","7625","45.33","11"
"32.63","569667254","2018-02-18","7625","27.7","3"
"6.0","557523818","2018-02-07","8743","47.77","26"
"8.1","569720884","2018-02-18","7625","44.96","39"
"214.78","558768218","2018-02-08","5195","30.81","0"
"123.37","558169257","2018-02-07","1003","43.23","23"
"37.08","577196130","2018-02-26","2003404","41.39",""
"36.44","559733834","2018-02-09","15269","44.9","1"
"4.91","575695833","2018-02-24","7625","28.32","2"
"2.0","564165863","2018-02-13","7625","49.05","62"
"10.29","578758056","2018-02-27","7625","47.77","20"
"148.99","573928689","2018-02-23","2002528","48.7","1"
"10.0","577642008","2018-02-26","8743","49.11","1193"
"6.0","562469448","2018-02-11","8743","46.41","5"
"329.96","569509519","2018-02-18","12874","31.11",""
"9.0","557029870","2018-02-06","8743","43.84","375"
"4.95","561159856","2018-02-10","7625","45.92","16"
"10.0","570130658","2018-02-19","8743","46.96","9"
"5.0","553111266","2018-02-02","8743","48.35","224"
"4.5","561762339","2018-02-11","7625","45.68","20"
"5.11","553845369","2018-02-03","7625","46.29","9"
"9.0","572703798","2018-02-22","8743","48.41","26"
"41.24","551372706","2018-02-01","12787","44.28","1"
"288.47","577387462","2018-02-26","7605","48.66","2"
"10.0","573943021","2018-02-23","8743","45.94","68"
"5.0","554282432","2018-02-03","8743","44.75","24"
"7.0","578352099","2018-02-27","8743","47.75","157"
"13.26","573529004","2018-02-22","14732","45.8","7"
"5.0","568855875","2018-02-18","8743","47.1","78"
"4.0","556832672","2018-02-06","8743","45.97","13"
"8.0","556912716","2018-02-06","8743","45.99","14"
"11.0","576901667","2018-02-26","8743","49.31","252"
"6.0","575004170","2018-02-24","8743","49.1","55"
"0.0","571589087","2018-02-21","2003731","41.05","3351"
"8.0","564403390","2018-02-13","8743","42.47","98"
"92.19","561591846","2018-02-10","7437","49.85",""
"10.0","572999604","2018-02-22","8743","47.1","9"
"14.0","563173745","2018-02-12","8743","44.16","5"
"144.03","569477562","2018-02-18","7625","28.13","1"
"116.0","576707029","2018-02-25","7625","29.92","1"
"45.0","552192656","2018-02-01","8743","43.97","19"
"7.0","555680543","2018-02-05","8743","48.85","17"
"9.59","566265331","2018-02-15","7625","25.46","2"
"8.0","569062631","2018-02-18","8743","49.15","1177"
"2.0","576713522","2018-02-25","7625","29.26","3"
"5.71","553075592","2018-02-02","14731","48.89","11"
"256.97","571589426","2018-02-21","7625","34.26","1"
"2.0","568497302","2018-02-17","8743","48.7","105"
"216.63","569304357","2018-02-18","155","42.18",""
"16.0","576792723","2018-02-26","7625","43.76","15"
"7.0","552602259","2018-02-02","8743","48.31","659"
"6.88","571881303","2018-02-20","7625","28.77","10"
"1.95","572077677","2018-02-21","7625","47.12","208"
"38.92","562885436","2018-02-12","7625","26.48","1"
"2.0","573829144","2018-02-23","7625","28.63","2"
"428.0","574549006","2018-02-23","1801","47.39","2"
"20.5","553013600","2018-02-02","8867","20.9",""
"465.0","577594899","2018-02-24","8886","46.83",""
"12.0","571591864","2018-02-21","7625","45.18","55"
"0.0","574995416","2018-02-24","2003731","41.05","5382"
"0.0","573768484","2018-02-23","2003684","42.71",""
