"AMOUNT","CASE","CREATED_AT","MERCHANT","RISK_SCORE","USER_ACCOUNT_AGGREGATE_ORDER_COUNT"
"2.0","541657808","2018-01-21","7625","26.34","1"
"8.0","540168762","2018-01-20","8743","49.74","6"
"3.0","525829817","2018-01-05","7625","49.67","58"
"51.0","540367794","2018-01-20","7625","24.73","4"
"24.0","525766041","2018-01-05","8743","43.69","13"
"22.5","541906183","2018-01-22","7625","26.05","23"
"273.0","531324344","2018-01-11","8886","39.54",""
"10.0","547076373","2018-01-27","8743","46.49","24"
"27.1","530569543","2018-01-10","1632","48.64",""
"19.96","524087019","2018-01-03","7625","23.4","26"
"41.0","539770643","2018-01-19","8743","40.18","91"
"554.0","533323292","2018-01-13","6189","48.02",""
"5.55","523134226","2018-01-03","7625","49.38","15"
"28.4","535301899","2018-01-15","2000343","45.21","1"
"6.0","531328520","2018-01-11","8743","47.92","223"
"12.0","541829174","2018-01-21","8743","48.69","8"
"12.0","537013543","2018-01-17","7625","29.99","1"
"7.0","525589297","2018-01-05","8743","46.39","49"
"4.64","542764403","2018-01-22","7625","28.04","1"
"222.0","534990435","2018-01-14","7625","27.57","1"
"35.0","541975356","2018-01-22","7625","41.43","16"
"6.0","535391633","2018-01-15","8743","48.26","8"
"21.87","524490811","2018-01-04","7625","40.6","4"
"8.0","521600856","2018-01-01","8743","47.27","11"
"7.95","529131201","2018-01-08","7625","45.86","5"
"1.76","548551255","2018-01-29","14402","49.39","1"
"7.0","525781594","2018-01-05","8743","48.97","19"
"2.0","533643168","2018-01-13","7625","28.94","8"
"5.0","533306381","2018-01-13","7625","49.85","48"
"295.15","534526428","2018-01-13","7625","26.52","18"
"14.0","547677420","2018-01-28","7625","48.13","18"
"356.0","526049413","2018-01-05","8886","36.24",""
"5.0","542926763","2018-01-23","8743","48.89","226"
"25.0","524489070","2018-01-04","1070","46.61",""
"5.0","542963336","2018-01-23","8743","49.45","84"
"6.0","524612468","2018-01-04","8743","47.24","131"
"15.8","548320056","2018-01-28","7625","27.58","1"
"13.81","548550073","2018-01-29","14731","46.06","10"
"9.0","533310546","2018-01-13","8743","49.33","78"
"2.0","541893847","2018-01-22","7625","25.34","8"
"2.11","543088887","2018-01-23","7625","29.89","2"
"8.0","525765371","2018-01-05","8743","48.73","472"
"2.0","541532333","2018-01-21","7625","43.8","12"
"32.0","541980048","2018-01-22","7625","21.99","33"
"3.0","539353540","2018-01-16","7625","22.63","7"
"23.6","536819248","2018-01-16","7625","24.69","18"
"31.0","534190721","2018-01-14","7625","27.72","1"
"1.02","541009447","2018-01-21","7625","24.76","1"
"6.0","544696373","2018-01-25","8743","45.44","15"
"7.0","522109851","2018-01-01","8743","48.81","13"
"7.0","548590493","2018-01-29","8743","49.33","11"
"7.0","537011164","2018-01-17","8743","47.99","45"
"4.0","548946257","2018-01-29","8743","41.51","123"
"8.84","538430880","2018-01-18","14731","46.07","20"
"1.01","539355105","2018-01-16","7625","28.47","1"
"10.55","528398519","2018-01-08","7625","47.9","11"
"8.55","546463738","2018-01-26","7625","48.13","12"
"16.0","527682664","2018-01-07","7625","46.77","100"
"6.0","539771457","2018-01-19","7625","24.59","8"
"12.52","525012372","2018-01-04","7625","26.27","2"
"6.0","533299672","2018-01-13","7625","27.36","1"
"10.0","541926093","2018-01-22","8743","47.0","412"
"2.0","545305763","2018-01-25","7625","29.5","98"
"5.0","525476060","2018-01-05","7625","24.17","46"
"87.75","544697318","2018-01-25","14321","27.8","1"
"1.03","524076522","2018-01-03","7625","28.22","1"
"19.0","548009062","2018-01-28","7625","27.05","4"
"6.0","540046636","2018-01-20","8743","48.7","16"
"629.0","543260428","2018-01-23","6189","39.91","2"
"6.0","534653615","2018-01-14","7625","28.16","3"
"3.0","543866177","2018-01-24","8743","48.75","371"
"88.02","541978691","2018-01-22","1755","30.68",""
"3.04","547835856","2018-01-28","7625","28.65","16"
"15.0","528369172","2018-01-08","8743","44.01","12"
"1.03","523693582","2018-01-03","7625","27.76","1"
"6.0","521461560","2018-01-01","8743","49.29","6"
"10.85","539772137","2018-01-17","7625","41.61","73"
"10.0","541178263","2018-01-21","8743","45.51","76"
"4.0","544066015","2018-01-24","7625","29.18","1"
"13.7","534429817","2018-01-14","7625","31.92","23"
"2034.83","541958607","2018-01-22","12507","42.49",""
"3.0","539351329","2018-01-14","7625","28.92","6"
"5.0","533300450","2018-01-13","8743","48.04","1322"
"7.0","534015244","2018-01-13","1632","44.29",""
"16.0","542911315","2018-01-23","8743","48.62","303"
"5.0","523136369","2018-01-03","8743","48.17","15"
"7.0","531869412","2018-01-11","8743","47.88","234"
"2.0","541946599","2018-01-22","8743","47.77","117"
"2.0","528502044","2018-01-08","2209","30.1","11624"
"8.0","525336569","2018-01-05","8743","46.48","6"
"7.0","544899152","2018-01-25","8743","49.46","6"
"40.0","541541526","2018-01-21","7625","24.15","1"
"31.2","542758010","2018-01-22","1632","46.06",""
"6.0","547633657","2018-01-28","8743","48.86","1686"
"34.08","542750181","2018-01-22","7605","48.37","2"
"9.0","537005777","2018-01-17","8743","47.58","7"
"8.0","539181030","2018-01-19","8743","49.01","552"
"824.99","902292134","2018-01-29","2007014","46.7",""
"36.0","538245078","2018-01-18","7625","39.17","6"
"34.0","543260528","2018-01-23","7625","18.21","3"
"836.09","540162799","2018-01-20","8886","16.53",""
"888.17","541890256","2018-01-22","534","47.51","1"
"15.0","540052624","2018-01-20","7625","21.09","4"
"50.4","541554222","2018-01-21","7625","30.92","4"
"7.1","541865667","2018-01-19","1632","45.01",""
"18.94","542953810","2018-01-23","7625","27.41","2"
"23.0","544452375","2018-01-24","7625","27.64","1"
"2.0","537440535","2018-01-17","7625","28.95","4"
"1.25","541655783","2018-01-21","7625","28.24","1"
"7.0","531207402","2018-01-11","8743","48.62","477"
"14.5","527693069","2018-01-07","14731","46.92","8"
"43.21","525616719","2018-01-05","6807","34.0","1"
"6.0","548920295","2018-01-29","8743","47.44","10"
"3.0","542761122","2018-01-22","8743","48.98","213"
"6.92","541999207","2018-01-22","7625","27.18","2"
"4.0","549203384","2018-01-29","7625","48.33","18"
"5.0","524981892","2018-01-04","8743","47.53","1264"
"140.12","544698621","2018-01-25","5309","42.62",""
"5.0","543212028","2018-01-23","8743","46.63","22"
"5.0","538200796","2018-01-18","8743","49.21","65"
"7.0","529750136","2018-01-09","8743","46.29","146"
"2679.97","902507302","2018-01-11","2007014","43.81",""
"867.6","538662270","2018-01-18","5874","37.09",""
"436.9","526137864","2018-01-05","71","34.73","0"
"11.0","524242074","2018-01-04","8743","49.19","158"
"66.24","541962391","2018-01-22","7625","24.2","2"
"11.9","529491210","2018-01-09","7625","48.48","234"
"7.0","523856135","2018-01-03","8743","47.32","26"
"3.73","533316543","2018-01-13","7625","49.49","36"
"207.3","531679185","2018-01-11","7625","19.95","1"
"269.0","525704393","2018-01-05","7625","28.68","1"
"97.0","544765054","2018-01-25","7625","29.0","4"
"14.0","541139097","2018-01-21","8743","48.21","16"
"9.0","544512647","2018-01-24","8743","47.71","52"
"2.0","543627766","2018-01-23","7625","26.68","2"
"18.9","535762673","2018-01-15","7625","25.87","3"
"12.0","524082747","2018-01-03","8743","46.2","245"
"6.41","542758725","2018-01-22","14731","45.79","49"
"40.0","537039620","2018-01-17","7625","48.53","65"
"2.44","541902477","2018-01-22","7625","42.59","20"
"5.0","535547067","2018-01-15","8743","47.85","19"
"12.0","524983669","2018-01-04","7625","44.9","2"
"107.59","523627514","2018-01-03","12595","46.85","2"
"51.0","534705763","2018-01-14","7625","36.11","10"
"8.0","533998700","2018-01-13","8743","47.9","85"
"66.0","545483283","2018-01-25","7625","24.51","3"
"117.7","541896526","2018-01-22","7625","21.58","2"
"1299.99","904001579","2018-01-29","2007014","49.22",""
"2.44","540358200","2018-01-20","7625","27.62","12"
"7.0","534657555","2018-01-14","8743","48.05","20"
"10.0","544894534","2018-01-25","8743","48.78","25"
"13.3","531829544","2018-01-11","7625","28.81","11"
"8.0","544777325","2018-01-25","8743","45.87","17"
"8.82","539285850","2018-01-19","7625","45.65","6"
"6.0","534199097","2018-01-14","7625","25.72","4"
"6.38","531208884","2018-01-11","14731","43.05","14"
"10.0","541590651","2018-01-21","8743","42.79","58"
"10.0","541914479","2018-01-22","8743","49.34","9"
"13.0","541815583","2018-01-21","7625","26.64","14"
"4.0","525194190","2018-01-05","7625","29.33","7"
"64.02","547687192","2018-01-28","6807","29.58","1"
"12.75","523597817","2018-01-03","7625","27.87","66"
"12.0","533825890","2018-01-13","8743","49.4","67"
"11.8","541591383","2018-01-21","7625","26.46","6"
"5.0","536202440","2018-01-16","7625","49.83","9"
"31.99","531971018","2018-01-11","377","34.45","2"
"95.0","537842854","2018-01-17","7863","34.88","2"
"14.36","531968744","2018-01-11","14731","48.56","9"
"6.0","539855265","2018-01-19","8743","48.38","6"
"71.8","529499761","2018-01-09","7625","20.21","2"
"703.9","546668688","2018-01-27","7625","30.19","1"
"792.09","542410679","2018-01-22","2207","47.98",""
"24.0","542727824","2018-01-22","7625","21.21","3"
"10.0","534468418","2018-01-14","8743","46.6","6"
"2.0","539194703","2018-01-19","7625","49.17","10"
"1372.25","533621560","2018-01-13","12885","41.12",""
"2.0","546122290","2018-01-26","1632","43.1",""
"2.0","531192572","2018-01-11","7625","26.36","5"
"3679.96","894249326","2018-01-10","2007674","45.73",""
"8.0","547762091","2018-01-28","8743","45.02","5"
"12.0","537188567","2018-01-17","7625","23.0","12"
"4.0","539198812","2018-01-19","7625","27.15","20"
"2.85","542194857","2018-01-22","7625","49.76","66"
"297.25","942825063","2018-01-18","6632","42.99","2"
"10.33","530123337","2018-01-09","7625","29.66","2"
"6.65","533370051","2018-01-13","7625","27.13","14"
"2.0","525030479","2018-01-04","7625","29.27","6"
"221.48","538009861","2018-01-18","155","41.77",""
