case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
523134226,03/01/2018,$5.55,49.38,15,7625
535301899,15/01/2018,$28.4,45.21,1,2000343
531328520,11/01/2018,$6,47.92,223,8743
541829174,21/01/2018,$12,48.69,8,8743
537013543,17/01/2018,$12,29.99,1,7625
525589297,05/01/2018,$7,46.39,49,8743
542764403,22/01/2018,$4.64,28.04,1,7625
534990435,14/01/2018,$222,27.57,1,7625
541975356,22/01/2018,$35,41.43,16,7625
535391633,15/01/2018,$6,48.26,8,8743
524490811,04/01/2018,$21.87,40.6,4,7625
521600856,01/01/2018,$8,47.27,11,8743
529131201,08/01/2018,$7.95,45.86,5,7625
548551255,29/01/2018,$1.76,49.39,1,14402
525781594,05/01/2018,$7,48.97,19,8743
533643168,13/01/2018,$2,28.94,8,7625
533306381,13/01/2018,$5,49.85,48,7625
534526428,13/01/2018,$295.15,26.52,18,7625
547677420,28/01/2018,$14,48.13,18,7625
526049413,05/01/2018,$356,36.24,,8886
542926763,23/01/2018,$5,48.89,226,8743
524489070,04/01/2018,$25,46.61,,1070
542963336,23/01/2018,$5,49.45,84,8743
524612468,04/01/2018,$6,47.24,131,8743
548320056,28/01/2018,$15.8,27.58,1,7625
548550073,29/01/2018,$13.81,46.06,10,14731
533310546,13/01/2018,$9,49.33,78,8743
541893847,22/01/2018,$2,25.34,8,7625
543088887,23/01/2018,$2.11,29.89,2,7625
525765371,05/01/2018,$8,48.73,472,8743
541532333,21/01/2018,$2,43.8,12,7625
541980048,22/01/2018,$32,21.99,33,7625
539353540,16/01/2018,$3,22.63,7,7625
536819248,16/01/2018,$23.6,24.69,18,7625
534190721,14/01/2018,$31,27.72,1,7625
541009447,21/01/2018,$1.02,24.76,1,7625
544696373,25/01/2018,$6,45.44,15,8743
522109851,01/01/2018,$7,48.81,13,8743
548590493,29/01/2018,$7,49.33,11,8743
537011164,17/01/2018,$7,47.99,45,8743
548946257,29/01/2018,$4,41.51,123,8743
538430880,18/01/2018,$8.84,46.07,20,14731
539355105,16/01/2018,$1.01,28.47,1,7625
528398519,08/01/2018,$10.55,47.9,11,7625
546463738,26/01/2018,$8.55,48.13,12,7625
527682664,07/01/2018,$16,46.77,100,7625
539771457,19/01/2018,$6,24.59,8,7625
525012372,04/01/2018,$12.52,26.27,2,7625
533299672,13/01/2018,$6,27.36,1,7625
541926093,22/01/2018,$10,47,412,8743
545305763,25/01/2018,$2,29.5,98,7625
525476060,05/01/2018,$5,24.17,46,7625
544697318,25/01/2018,$87.75,27.8,1,14321
524076522,03/01/2018,$1.03,28.22,1,7625
548009062,28/01/2018,$19,27.05,4,7625
540046636,20/01/2018,$6,48.7,16,8743
543260428,23/01/2018,$629,39.91,2,6189
534653615,14/01/2018,$6,28.16,3,7625
543866177,24/01/2018,$3,48.75,371,8743
541978691,22/01/2018,$88.02,30.68,,1755
547835856,28/01/2018,$3.04,28.65,16,7625
528369172,08/01/2018,$15,44.01,12,8743
523693582,03/01/2018,$1.03,27.76,1,7625
521461560,01/01/2018,$6,49.29,6,8743
539772137,17/01/2018,$10.85,41.61,73,7625
541178263,21/01/2018,$10,45.51,76,8743
544066015,24/01/2018,$4,29.18,1,7625
534429817,14/01/2018,$13.7,31.92,23,7625
541958607,22/01/2018,$2034.83,42.49,,12507
539351329,14/01/2018,$3,28.92,6,7625
533300450,13/01/2018,$5,48.04,1322,8743
534015244,13/01/2018,$7,44.29,,1632
542911315,23/01/2018,$16,48.62,303,8743
523136369,03/01/2018,$5,48.17,15,8743
531869412,11/01/2018,$7,47.88,234,8743
541946599,22/01/2018,$2,47.77,117,8743
528502044,08/01/2018,$2,30.1,11624,2209
525336569,05/01/2018,$8,46.48,6,8743
544899152,25/01/2018,$7,49.46,6,8743
541541526,21/01/2018,$40,24.15,1,7625
542758010,22/01/2018,$31.2,46.06,,1632
547633657,28/01/2018,$6,48.86,1686,8743
542750181,22/01/2018,$34.08,48.37,2,7605
537005777,17/01/2018,$9,47.58,7,8743
539181030,19/01/2018,$8,49.01,552,8743
902292134,29/01/2018,$824.99,46.7,,2007014
538245078,18/01/2018,$36,39.17,6,7625
543260528,23/01/2018,$34,18.21,3,7625
540162799,20/01/2018,$836.09,16.53,,8886
541890256,22/01/2018,$888.17,47.51,1,534
540052624,20/01/2018,$15,21.09,4,7625
541554222,21/01/2018,$50.4,30.92,4,7625
541865667,19/01/2018,$7.1,45.01,,1632
542953810,23/01/2018,$18.94,27.41,2,7625
544452375,24/01/2018,$23,27.64,1,7625
537440535,17/01/2018,$2,28.95,4,7625
541655783,21/01/2018,$1.25,28.24,1,7625
531207402,11/01/2018,$7,48.62,477,8743
527693069,07/01/2018,$14.5,46.92,8,14731
525616719,05/01/2018,$43.21,34,1,6807
548920295,29/01/2018,$6,47.44,10,8743
542761122,22/01/2018,$3,48.98,213,8743
541999207,22/01/2018,$6.92,27.18,2,7625
549203384,29/01/2018,$4,48.33,18,7625
524981892,04/01/2018,$5,47.53,1264,8743
544698621,25/01/2018,$140.12,42.62,,5309
543212028,23/01/2018,$5,46.63,22,8743
538200796,18/01/2018,$5,49.21,65,8743
529750136,09/01/2018,$7,46.29,146,8743
902507302,11/01/2018,$2679.97,43.81,,2007014
538662270,18/01/2018,$867.6,37.09,,5874
526137864,05/01/2018,$436.9,34.73,0,71
524242074,04/01/2018,$11,49.19,158,8743
541962391,22/01/2018,$66.24,24.2,2,7625
529491210,09/01/2018,$11.9,48.48,234,7625
523856135,03/01/2018,$7,47.32,26,8743
533316543,13/01/2018,$3.73,49.49,36,7625
531679185,11/01/2018,$207.3,19.95,1,7625
525704393,05/01/2018,$269,28.68,1,7625
544765054,25/01/2018,$97,29,4,7625
541139097,21/01/2018,$14,48.21,16,8743
544512647,24/01/2018,$9,47.71,52,8743
543627766,23/01/2018,$2,26.68,2,7625
535762673,15/01/2018,$18.9,25.87,3,7625
524082747,03/01/2018,$12,46.2,245,8743
542758725,22/01/2018,$6.41,45.79,49,14731
537039620,17/01/2018,$40,48.53,65,7625
541902477,22/01/2018,$2.44,42.59,20,7625
535547067,15/01/2018,$5,47.85,19,8743
524983669,04/01/2018,$12,44.9,2,7625
523627514,03/01/2018,$107.59,46.85,2,12595
534705763,14/01/2018,$51,36.11,10,7625
533998700,13/01/2018,$8,47.9,85,8743
545483283,25/01/2018,$66,24.51,3,7625
541896526,22/01/2018,$117.7,21.58,2,7625
904001579,29/01/2018,$1299.99,49.22,,2007014
540358200,20/01/2018,$2.44,27.62,12,7625
534657555,14/01/2018,$7,48.05,20,8743
544894534,25/01/2018,$10,48.78,25,8743
531829544,11/01/2018,$13.3,28.81,11,7625
544777325,25/01/2018,$8,45.87,17,8743
539285850,19/01/2018,$8.82,45.65,6,7625
534199097,14/01/2018,$6,25.72,4,7625
531208884,11/01/2018,$6.38,43.05,14,14731
541590651,21/01/2018,$10,42.79,58,8743
541914479,22/01/2018,$10,49.34,9,8743
541815583,21/01/2018,$13,26.64,14,7625
525194190,05/01/2018,$4,29.33,7,7625
547687192,28/01/2018,$64.02,29.58,1,6807
523597817,03/01/2018,$12.75,27.87,66,7625
533825890,13/01/2018,$12,49.4,67,8743
541591383,21/01/2018,$11.8,26.46,6,7625
536202440,16/01/2018,$5,49.83,9,7625
531971018,11/01/2018,$31.99,34.45,2,377
537842854,17/01/2018,$95,34.88,2,7863
