case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
533323292,2018-01-13,554.00,48.02,,6189
523134226,2018-01-03,5.55,49.38,15,7625
535301899,2018-01-15,28.40,45.21,1,2000343
531328520,2018-01-11,6.00,47.92,223,8743
541829174,2018-01-21,12.00,48.69,8,8743
537013543,2018-01-17,12.00,29.99,1,7625
525589297,2018-01-05,7.00,46.39,49,8743
542764403,2018-01-22,4.64,28.04,1,7625
534990435,2018-01-14,222.00,27.57,1,7625
541975356,2018-01-22,35.00,41.43,16,7625
535391633,2018-01-15,6.00,48.26,8,8743
524490811,2018-01-04,21.87,40.60,4,7625
521600856,2018-01-01,8.00,47.27,11,8743
529131201,2018-01-08,7.95,45.86,5,7625
548551255,2018-01-29,1.76,49.39,1,14402
525781594,2018-01-05,7.00,48.97,19,8743
533643168,2018-01-13,2.00,28.94,8,7625
533306381,2018-01-13,5.00,49.85,48,7625
534526428,2018-01-13,295.15,26.52,18,7625
547677420,2018-01-28,14.00,48.13,18,7625
526049413,2018-01-05,356.00,36.24,,8886
542926763,2018-01-23,5.00,48.89,226,8743
524489070,2018-01-04,25.00,46.61,,1070
542963336,2018-01-23,5.00,49.45,84,8743
524612468,2018-01-04,6.00,47.24,131,8743
548320056,2018-01-28,15.80,27.58,1,7625
548550073,2018-01-29,13.81,46.06,10,14731
533310546,2018-01-13,9.00,49.33,78,8743
541893847,2018-01-22,2.00,25.34,8,7625
543088887,2018-01-23,2.11,29.89,2,7625
525765371,2018-01-05,8.00,48.73,472,8743
541532333,2018-01-21,2.00,43.80,12,7625
541980048,2018-01-22,32.00,21.99,33,7625
539353540,2018-01-16,3.00,22.63,7,7625
536819248,2018-01-16,23.60,24.69,18,7625
534190721,2018-01-14,31.00,27.72,1,7625
541009447,2018-01-21,1.02,24.76,1,7625
544696373,2018-01-25,6.00,45.44,15,8743
522109851,2018-01-01,7.00,48.81,13,8743
548590493,2018-01-29,7.00,49.33,11,8743
537011164,2018-01-17,7.00,47.99,45,8743
548946257,2018-01-29,4.00,41.51,123,8743
538430880,2018-01-18,8.84,46.07,20,14731
539355105,2018-01-16,1.01,28.47,1,7625
528398519,2018-01-08,10.55,47.90,11,7625
